Country,Charging Point Quantity,Land Area (KmÂ²),Population,GDP per Capita,Paved Road (Km),Number of EV
Austria,5368,82409,9006398,55218,200000,60226
Belgium,4662,30280,11589623,51096,120514,23983
Finland,1078,303890,5540720,49853,51016,55400
France,21947,547557,65273511,46061,1028446,110916
Germany,23244,348560,83783942,54075,644480,136617
Greece,308,128900,10423054,28748,107406,30000
Ireland,706,68890,4937786,94391,91145,24416
Italy,6623,294140,60461826,40861,487700,30000
Netherlands,25338,33720,17134872,57534,139295,297380
Norway,2706,365268,5421241,65800,75754,337201
Poland,564,306230,37846611,34102,292134,20180
Portugal,947,91590,10196709,34042,71294,2500
Spain,2625,498800,46754778,38392,683175,20156
Sweden,2451,410340,10099265,54146,579564,56000
Switzerland,5177,39516,8654622,72873,71454,5000
United Kingdom,5109,241930,67886011,44116,344000,245000
Romania,260,230170,19237691,30526,68551,3800
Hungary,897,90530,9660351,33029,76075,6101
Albania,29,27400,2877797,14218,12920,1100
Andorra,53,470,77265,40886,198,500
Belarus,28,202910,9449323,20187,94797,2500
Belgium,4663,30280,11589623,51096,120514,23983
Czech Republic,919,78871,10708981,23495,130671,500
Denmark,1259,42430,5792202,58932,74558,20000
Estonia,211,42390,1326535,37745,10427,7598
Isle of Man,6,570,85033,89108,1107,241
Latvia,182,62200,1886198,31509,20131,530
Lithuania,93,62674,2722289,38824,13584,7109
Moldova,6,32850,4033963,12811,8835,250
Serbia,44,87460,8737371,19145,30171,148
Slovakia,449,48088,5459642,32709,38085,2109
Slovenia,553,20140,2078938,38807,38985,3670
