Year,County of Ownership,UNIT,VALUE
2015,Carlow,Kilometres,15348
2015,Dublin,Kilometres,14600
2015,Kildare,Kilometres,16696
2015,Kilkenny,Kilometres,16281
2015,Laois,Kilometres,17766
2015,Longford,Kilometres,17189
2015,Louth,Kilometres,15695
2015,Meath,Kilometres,16447
2015,Offaly,Kilometres,16290
2015,Westmeath,Kilometres,16841
2015,Wexford,Kilometres,16459
2015,Wicklow,Kilometres,16493
2015,Clare,Kilometres,16769
2015,Cork,Kilometres,14878
2015,Kerry,Kilometres,16076
2015,Limerick,Kilometres,16678
2015,Tipperary,Kilometres,16213
2015,Waterford,Kilometres,15786
2015,Galway,Kilometres,16664
2015,Leitrim,Kilometres,17590
2015,Mayo,Kilometres,16661
2015,Roscommon,Kilometres,15547
2015,Sligo,Kilometres,16221
2015,Cavan,Kilometres,16422
2015,Donegal,Kilometres,16248
2015,Monaghan,Kilometres,15235
2016,Carlow,Kilometres,15805
2016,Dublin,Kilometres,15017
2016,Kildare,Kilometres,16358
2016,Kilkenny,Kilometres,15747
2016,Laois,Kilometres,16482
2016,Longford,Kilometres,16223
2016,Louth,Kilometres,15449
2016,Meath,Kilometres,16449
2016,Offaly,Kilometres,16820
2016,Westmeath,Kilometres,16158
2016,Wexford,Kilometres,16127
2016,Wicklow,Kilometres,16147
2016,Clare,Kilometres,16276
2016,Cork,Kilometres,14950
2016,Kerry,Kilometres,16290
2016,Limerick,Kilometres,16286
2016,Tipperary,Kilometres,16114
2016,Waterford,Kilometres,15870
2016,Galway,Kilometres,16320
2016,Leitrim,Kilometres,17051
2016,Mayo,Kilometres,16438
2016,Roscommon,Kilometres,15329
2016,Sligo,Kilometres,15166
2016,Cavan,Kilometres,16273
2016,Donegal,Kilometres,16687
2016,Monaghan,Kilometres,15608
2017,Carlow,Kilometres,16076
2017,Dublin,Kilometres,14836
2017,Kildare,Kilometres,15590
2017,Kilkenny,Kilometres,15407
2017,Laois,Kilometres,16073
2017,Longford,Kilometres,15380
2017,Louth,Kilometres,15166
2017,Meath,Kilometres,16217
2017,Offaly,Kilometres,16362
2017,Westmeath,Kilometres,15592
2017,Wexford,Kilometres,15360
2017,Wicklow,Kilometres,15607
2017,Clare,Kilometres,15320
2017,Cork,Kilometres,14514
2017,Kerry,Kilometres,15077
2017,Limerick,Kilometres,16129
2017,Tipperary,Kilometres,15500
2017,Waterford,Kilometres,15354
2017,Galway,Kilometres,15527
2017,Leitrim,Kilometres,16156
2017,Mayo,Kilometres,15532
2017,Roscommon,Kilometres,15375
2017,Sligo,Kilometres,14305
2017,Cavan,Kilometres,15571
2017,Donegal,Kilometres,15783
2017,Monaghan,Kilometres,15271
2018,Carlow,Kilometres,14255
2018,Dublin,Kilometres,14363
2018,Kildare,Kilometres,14479
2018,Kilkenny,Kilometres,14475
2018,Laois,Kilometres,15409
2018,Longford,Kilometres,13768
2018,Louth,Kilometres,14197
2018,Meath,Kilometres,15072
2018,Offaly,Kilometres,14585
2018,Westmeath,Kilometres,14339
2018,Wexford,Kilometres,14167
2018,Wicklow,Kilometres,14155
2018,Clare,Kilometres,14319
2018,Cork,Kilometres,13724
2018,Kerry,Kilometres,13787
2018,Limerick,Kilometres,14923
2018,Tipperary,Kilometres,13923
2018,Waterford,Kilometres,13888
2018,Galway,Kilometres,14325
2018,Leitrim,Kilometres,14127
2018,Mayo,Kilometres,14310
2018,Roscommon,Kilometres,14176
2018,Sligo,Kilometres,14004
2018,Cavan,Kilometres,14238
2018,Donegal,Kilometres,14376
2018,Monaghan,Kilometres,13789
2019,Carlow,Kilometres,13340
2019,Dublin,Kilometres,14200
2019,Kildare,Kilometres,13938
2019,Kilkenny,Kilometres,13690
2019,Laois,Kilometres,14639
2019,Longford,Kilometres,13475
2019,Louth,Kilometres,14307
2019,Meath,Kilometres,14463
2019,Offaly,Kilometres,13671
2019,Westmeath,Kilometres,13924
2019,Wexford,Kilometres,13385
2019,Wicklow,Kilometres,13702
2019,Clare,Kilometres,13774
2019,Cork,Kilometres,13300
2019,Kerry,Kilometres,13215
2019,Limerick,Kilometres,14370
2019,Tipperary,Kilometres,13225
2019,Waterford,Kilometres,13304
2019,Galway,Kilometres,13945
2019,Leitrim,Kilometres,13144
2019,Mayo,Kilometres,13734
2019,Roscommon,Kilometres,13564
2019,Sligo,Kilometres,13416
2019,Cavan,Kilometres,14022
2019,Donegal,Kilometres,13601
2019,Monaghan,Kilometres,13810